SKU Code,Design No.,Stock,Category,Size,Color
BL014-62CHIKU,BL014,73.0,BLOUSE,FREE,BEIGE
BL015-63PINK,BL015,14.0,BLOUSE,FREE,PINK
BL016-63RED,BL016,24.0,BLOUSE,FREE,RED
BL017-63BLACK,BL017,208.0,BLOUSE,FREE,BLACK
BL018-63BEIGE,BL018,39.0,BLOUSE,FREE,BEIGE
BL019-71PINK,BL019,76.0,BLOUSE,FREE,PINK
#REF!,BL019,0.0,BLOUSE,FREE,PINK
BL020-71RED,BL020,38.0,BLOUSE,FREE,RED
BL021-71BLACK,BL021,628.0,BLOUSE,FREE,BLACK
#REF!,BL021,0.0,BLOUSE,FREE,BLACK
#REF!,BL021,0.0,BLOUSE,FREE,BLACK
#REF!,BL021,1.0,BLOUSE,FREE,BLACK
#REF!,BL021,0.0,BLOUSE,FREE,BLACK
BL022-71BEIGE,BL022,106.0,BLOUSE,FREE,BEIGE
#REF!,BL022,0.0,BLOUSE,FREE,BEIGE
#REF!,BL022,0.0,BLOUSE,FREE,BEIGE
BL023-74PINK,BL023,50.0,BLOUSE,FREE,PINK
BL024-74RED,BL024,103.0,BLOUSE,FREE,RED
BL025-74BLACK,BL025,199.0,BLOUSE,FREE,BLACK
BL026-74BEIGE,BL026,98.0,BLOUSE,FREE,BEIGE
BL029-78BLACK,BL029,201.0,BLOUSE,FREE,BLACK
#REF!,BL029,0.0,BLOUSE,FREE,BLACK
BL030-78BEIGE,BL030,10.0,BLOUSE,FREE,BEIGE
BL031-79PINK,BL031,8.0,BLOUSE,FREE,PINK
BL034-150GOLD,BL034,31.0,BLOUSE,FREE,GOLD
BL035-161GOLD,BL035,448.0,BLOUSE,FREE,GOLD
#REF!,BL035,0.0,BLOUSE,FREE,GOLD
BL036-176GOLD,BL036,45.0,BLOUSE,FREE,GOLD
#REF!,BL036,0.0,BLOUSE,FREE,GOLD
BL040-65PINK,BL040,31.0,BLOUSE,FREE,PINK
BL041-65RED,BL041,30.0,BLOUSE,FREE,RED
BL046-82RED,BL046,23.0,BLOUSE,FREE,RED
BL050-83RED,BL050,63.0,BLOUSE,FREE,RED
BL051-83BLACK,BL051,42.0,BLOUSE,FREE,BLACK
BL053-153GOLD,BL053,20.0,BLOUSE,FREE,GOLD
BL055-164GOLD,BL055,68.0,BLOUSE,FREE,GOLD
BL056-185GOLD,BL056,23.0,BLOUSE,FREE,GOLD
BL057-65BLACK,BL057,114.0,BLOUSE,FREE,BLACK
BL058-65BEIGE,BL058,20.0,BLOUSE,FREE,BEIGE
#REF!,BL058,0.0,BLOUSE,FREE,BEIGE
BL060-75RED,BL060,49.0,BLOUSE,FREE,RED
BL061-75BLACK,BL061,488.0,BLOUSE,FREE,BLACK
